t0	24-Sep-20  16:19:33.393727
delta t	6.000000E-7

time	Y
24-Sep-20  16:19:33.393763	0.049805
24-Sep-20  16:19:33.393764	0.045654
24-Sep-20  16:19:33.393765	0.041260
24-Sep-20  16:19:33.393765	0.037109
24-Sep-20  16:19:33.393766	0.032471
24-Sep-20  16:19:33.393766	0.028320
24-Sep-20  16:19:33.393767	0.022949
24-Sep-20  16:19:33.393768	0.018066
24-Sep-20  16:19:33.393768	0.013672
24-Sep-20  16:19:33.393769	0.008789
24-Sep-20  16:19:33.393769	0.003906
24-Sep-20  16:19:33.393770	-0.000977
24-Sep-20  16:19:33.393771	-0.005371
24-Sep-20  16:19:33.393771	-0.010010
24-Sep-20  16:19:33.393772	-0.014160
24-Sep-20  16:19:33.393772	-0.017090
24-Sep-20  16:19:33.393773	-0.020752
24-Sep-20  16:19:33.393774	-0.025146
24-Sep-20  16:19:33.393774	-0.028564
24-Sep-20  16:19:33.393775	-0.032959
24-Sep-20  16:19:33.393775	-0.037354
24-Sep-20  16:19:33.393776	-0.041748
24-Sep-20  16:19:33.393777	-0.045898
24-Sep-20  16:19:33.393777	-0.050293
24-Sep-20  16:19:33.393778	-0.054932
24-Sep-20  16:19:33.393778	-0.059570
24-Sep-20  16:19:33.393779	-0.063965
24-Sep-20  16:19:33.393780	-0.068359
24-Sep-20  16:19:33.393780	-0.072754
24-Sep-20  16:19:33.393781	-0.078125
24-Sep-20  16:19:33.393781	-0.082764
24-Sep-20  16:19:33.393782	-0.087646
24-Sep-20  16:19:33.393783	-0.092529
24-Sep-20  16:19:33.393783	-0.097168
24-Sep-20  16:19:33.393784	-0.101562
24-Sep-20  16:19:33.393784	-0.106201
24-Sep-20  16:19:33.393785	-0.110596
24-Sep-20  16:19:33.393786	-0.115234
24-Sep-20  16:19:33.393786	-0.120361
24-Sep-20  16:19:33.393787	-0.124512
24-Sep-20  16:19:33.393787	-0.128418
24-Sep-20  16:19:33.393788	-0.132324
24-Sep-20  16:19:33.393789	-0.136475
24-Sep-20  16:19:33.393789	-0.140381
24-Sep-20  16:19:33.393790	-0.145020
24-Sep-20  16:19:33.393790	-0.149658
24-Sep-20  16:19:33.393791	-0.154297
24-Sep-20  16:19:33.393792	-0.158447
24-Sep-20  16:19:33.393792	-0.162842
24-Sep-20  16:19:33.393793	-0.167236
24-Sep-20  16:19:33.393793	-0.171875
24-Sep-20  16:19:33.393794	-0.177002
24-Sep-20  16:19:33.393795	-0.182129
24-Sep-20  16:19:33.393795	-0.186768
